ID,name,category,gender,follower_count,platform
1,Kimberly Johnson,Fashion,Female,451963,Twitter
2,James Gray,Parenting,Female,1336239,Instagram
3,Jeremiah Harris,Tech,Female,1857723,Instagram
4,Sylvia Ramirez,Parenting,Male,1393463,Instagram
5,Kelsey Vance,Fitness,Male,1241015,Youtube
6,Christine Brady,Fitness,Male,393501,Youtube
7,Brandy Weaver,Finance,Female,992684,LinkedIn
8,Madison Long,Travel,Female,824721,Instagram
9,David Salinas,Fitness,Female,1387099,Youtube
10,Tanya Williams,Fitness,Male,1992102,Twitter
11,Amanda Patrick,Tech,Female,602414,LinkedIn
12,Jamie Yu,Tech,Female,1576974,Youtube
13,Richard Thornton,Tech,Female,1720739,Twitter
14,Christine Evans,Beauty,Male,1225053,Youtube
15,Michelle York,Fashion,Female,102324,LinkedIn
16,Shelby Sweeney,Tech,Male,1924343,Youtube
17,Louis Sanchez,Fitness,Female,1403872,Twitter
18,Robert Lester,Travel,Female,899460,LinkedIn
19,James Hernandez,Fitness,Female,1332408,Twitter
20,Morgan Brooks,Finance,Female,550864,Youtube
21,Julie Hubbard,Parenting,Male,901733,Twitter
22,Ashley Gonzalez,Gaming,Female,1872700,Twitter
23,James Pitts,Fitness,Female,943792,Twitter
24,Kristin Lane,Gaming,Male,1470300,Instagram
25,Marc Pennington,Travel,Female,1891959,Youtube
26,Christian Hahn,Parenting,Male,734700,Instagram
27,Samuel Rivas,Tech,Female,1013869,Instagram
28,Rhonda Sanders,Parenting,Female,1281426,LinkedIn
29,Lisa Sherman,Tech,Male,1582375,Instagram
30,Sara Manning,Finance,Female,1594402,Twitter
31,Patricia Silva DDS,Tech,Male,1842388,Instagram
32,Raymond Wright,Fashion,Male,783378,Youtube
33,Raymond Moore,Food,Male,1632765,LinkedIn
34,Heather Cook,Gaming,Female,302281,LinkedIn
35,Sarah Deleon,Parenting,Male,991767,Instagram
36,Thomas Delacruz,Food,Male,145280,Twitter
37,Kevin Mathews,Travel,Male,791905,Twitter
38,Daniel Mejia,Food,Female,411538,Instagram
39,Robert Watkins,Gaming,Male,1049473,Twitter
40,Samantha Everett,Parenting,Female,744879,Instagram
41,Darlene Rowland,Finance,Female,1262288,Youtube
42,Jacob Wells,Food,Female,1444418,Youtube
43,Maria White,Food,Female,144865,Instagram
44,Marisa Haynes,Fashion,Female,199334,Instagram
45,Melanie Wilson,Food,Female,809942,Instagram
46,Ryan Rodriguez,Travel,Male,1177998,LinkedIn
47,Elaine Wallace,Food,Female,602731,Instagram
48,Pamela Hayden,Finance,Male,1531785,Youtube
49,Christine Brown,Fashion,Female,1294235,Instagram
50,Cindy West,Fitness,Female,1905607,Instagram
